STATION,STATION_NAME,DATE,MDPR,MDSF,DAPR,DASF,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS,WT01,WT05,WT11,WT04,WT03
GHCND:USC00319467,WILMINGTON 7 N NC US,19720101,-9999,-9999,-9999,-9999,0.00,0.0,0.0,69,35,38,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720102,-9999,-9999,-9999,-9999,0.68,0.0,0.0,63,38,63,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720103,-9999,-9999,-9999,-9999,0.00,0.0,0.0,70,42,48,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720104,-9999,-9999,-9999,-9999,0.00,0.0,0.0,60,45,50,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720105,-9999,-9999,-9999,-9999,0.00,0.0,0.0,76,50,66,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720106,-9999,-9999,-9999,-9999,0.10,0.0,0.0,69,37,39,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720107,-9999,-9999,-9999,-9999,0.00,0.0,0.0,60,25,33,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720108,-9999,-9999,-9999,-9999,0.00,0.0,0.0,60,29,38,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720109,-9999,-9999,-9999,-9999,0.00,0.0,0.0,55,35,41,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720110,-9999,-9999,-9999,-9999,0.08,0.0,0.0,71,41,61,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720111,-9999,-9999,-9999,-9999,0.21,0.0,0.0,75,60,63,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720112,-9999,-9999,-9999,-9999,0.64,0.0,0.0,67,57,58,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720113,-9999,-9999,-9999,-9999,0.63,0.0,0.0,70,58,69,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720114,-9999,-9999,-9999,-9999,0.74,0.0,0.0,74,63,66,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720115,-9999,-9999,-9999,-9999,0.97,0.0,0.0,69,34,36,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720116,-9999,-9999,-9999,-9999,0.00,0.0,0.0,42,14,18,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720117,-9999,-9999,-9999,-9999,0.00,0.0,0.0,21,11,19,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720118,-9999,-9999,-9999,-9999,0.00,0.0,0.0,44,19,32,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720119,-9999,-9999,-9999,-9999,0.00,0.0,0.0,64,31,46,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720120,-9999,-9999,-9999,-9999,0.00,0.0,0.0,73,38,45,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720121,-9999,-9999,-9999,-9999,0.40,0.0,0.0,73,45,59,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720122,-9999,-9999,-9999,-9999,0.16,0.0,0.0,65,52,53,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720123,-9999,-9999,-9999,-9999,0.25,0.0,0.0,59,53,57,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720124,-9999,-9999,-9999,-9999,0.00,0.0,0.0,64,52,56,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720125,-9999,-9999,-9999,-9999,0.00,0.0,0.0,77,53,59,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720126,-9999,-9999,-9999,-9999,0.00,0.0,0.0,78,30,34,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720127,-9999,-9999,-9999,-9999,0.00,0.0,0.0,58,34,49,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720128,-9999,-9999,-9999,-9999,0.00,0.0,0.0,67,48,66,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720129,-9999,-9999,-9999,-9999,0.18,0.0,0.0,78,47,48,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720130,-9999,-9999,-9999,-9999,0.41,0.0,0.0,50,48,50,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720131,-9999,-9999,-9999,-9999,0.17,0.0,0.0,53,39,40,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720201,-9999,-9999,-9999,-9999,0.00,0.0,0.0,49,26,35,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720202,-9999,-9999,-9999,-9999,1.63,0.0,0.0,51,36,51,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720203,-9999,-9999,-9999,-9999,0.00,0.0,0.0,52,41,47,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720204,-9999,-9999,-9999,-9999,0.97,0.0,0.0,68,35,37,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720205,-9999,-9999,-9999,-9999,0.00,0.0,0.0,57,21,38,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720206,-9999,-9999,-9999,-9999,0.00,0.0,0.0,52,24,52,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720207,-9999,-9999,-9999,-9999,0.07,0.0,0.0,65,41,52,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720208,-9999,-9999,-9999,-9999,0.00,0.0,0.0,54,26,29,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720209,-9999,-9999,-9999,-9999,0.00,0.0,0.0,48,29,32,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720210,-9999,-9999,-9999,-9999,0.00,0.0,0.0,41,28,34,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720211,-9999,-9999,-9999,-9999,0.00,0.0,0.0,47,29,34,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720212,-9999,-9999,-9999,-9999,0.05,0.0,0.0,51,33,40,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720213,-9999,-9999,-9999,-9999,1.41,0.0,0.0,60,40,48,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720214,-9999,-9999,-9999,-9999,0.00,0.0,0.0,62,40,46,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720215,-9999,-9999,-9999,-9999,0.00,0.0,0.0,63,39,47,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720216,-9999,-9999,-9999,-9999,0.00,0.0,0.0,64,47,50,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720217,-9999,-9999,-9999,-9999,0.78,0.0,0.0,58,41,43,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720218,-9999,-9999,-9999,-9999,0.03,0.0,0.0,50,39,41,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720219,-9999,-9999,-9999,-9999,0.13,0.0,0.0,50,36,38,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720220,-9999,-9999,-9999,-9999,0.00,0.0,0.0,40,27,27,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720221,-9999,-9999,-9999,-9999,0.00,0.0,0.0,45,22,36,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720222,-9999,-9999,-9999,-9999,0.00,0.0,0.0,54,36,54,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720223,-9999,-9999,-9999,-9999,0.00,0.0,0.0,71,31,37,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720224,-9999,-9999,-9999,-9999,0.01,0.0,0.0,55,37,52,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720225,-9999,-9999,-9999,-9999,0.00,0.0,0.0,75,52,60,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720226,-9999,-9999,-9999,-9999,0.16,0.0,0.0,72,51,65,-9999,-9999,-9999,-9999,1
GHCND:USC00319467,WILMINGTON 7 N NC US,19720227,-9999,-9999,-9999,-9999,0.00,0.0,0.0,80,38,42,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720228,-9999,-9999,-9999,-9999,0.00,0.0,0.0,56,39,50,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720229,-9999,-9999,-9999,-9999,0.00,0.0,0.0,73,45,56,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720301,-9999,-9999,-9999,-9999,0.00,0.0,0.0,82,44,59,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720302,-9999,-9999,-9999,-9999,0.00,0.0,0.0,80,54,68,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720303,-9999,-9999,-9999,-9999,0.42,0.0,0.0,79,58,65,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720304,-9999,-9999,-9999,-9999,0.00,0.0,0.0,74,42,43,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720305,-9999,-9999,-9999,-9999,0.03,0.0,0.0,55,43,50,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720306,-9999,-9999,-9999,-9999,0.00,0.0,0.0,60,29,40,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720307,-9999,-9999,-9999,-9999,0.00,0.0,0.0,57,30,45,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720308,-9999,-9999,-9999,-9999,0.00,0.0,0.0,68,40,66,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720309,-9999,-9999,-9999,-9999,0.00,0.0,0.0,76,35,40,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720310,-9999,-9999,-9999,-9999,0.00,0.0,0.0,66,27,51,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720311,-9999,-9999,-9999,-9999,0.00,0.0,0.0,63,31,42,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720312,-9999,-9999,-9999,-9999,0.00,0.0,0.0,61,30,58,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720313,-9999,-9999,-9999,-9999,0.00,0.0,0.0,75,51,63,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720314,-9999,-9999,-9999,-9999,0.00,0.0,0.0,85,55,66,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720315,-9999,-9999,-9999,-9999,0.00,0.0,0.0,75,45,57,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720316,-9999,-9999,-9999,-9999,0.00,0.0,0.0,73,46,69,-9999,-9999,-9999,-9999,-9999
GHCND:USC00319467,WILMINGTON 7 N NC US,19720317,-9999,-9999,-9999,-9999,1.05,0.0,0.0,78,53,56,-9999,-9999,-9999,-9999,1
