Source,Year,Month,Day,Time of Day,Station,Tide,Hooks,Species Code,Common Name,Latin name,Longline used,Fork length,Total length,Sex,Status,Notes
UNC,1972,5,2,930,EW,F,100,DUS,Dusky shark,Carcharhinus obscurus,Y,91.4,,M,,
UNC,1972,5,2,930,EW,F,100,DUS,Dusky shark,Carcharhinus obscurus,Y,76.2,,F,,
UNC,1972,5,2,930,EW,F,100,DUS,Dusky shark,Carcharhinus obscurus,Y,106.9,,F,,
UNC,1972,5,2,930,EW,F,100,DUS,Dusky shark,Carcharhinus obscurus,Y,106.9,,F,,
UNC,1972,5,2,930,EW,F,100,DUS,Dusky shark,Carcharhinus obscurus,Y,106.9,,F,,
UNC,1972,5,2,930,EW,F,100,SDS,Smooth dogfish,Mustelus canis,Y,137.1,,F,,
UNC,1972,5,2,930,EW,F,100,SDS,Smooth dogfish,Mustelus canis,Y,76.2,,F,,
UNC,1972,5,2,930,EW,F,100,SDS,Smooth dogfish,Mustelus canis,Y,106.9,,F,,
UNC,1972,5,2,930,EW,F,100,SDS,Smooth dogfish,Mustelus canis,Y,76.2,,F,,
UNC,1972,5,2,930,EW,F,100,SDS,Smooth dogfish,Mustelus canis,Y,91.4,,F,,
UNC,1972,9,26,945,EW,F,84,SBN,Blacknose shark,Carcharhinus acronotus,Y,101.6,,F,,
UNC,1972,9,26,945,EW,F,84,SBN,Blacknose shark,Carcharhinus acronotus,Y,101.6,,F,,
UNC,1972,9,26,945,EW,F,84,SBK,Blacktip shark,Carcharhinus limbatus,Y,111.7,,M,,
UNC,1972,9,26,945,EW,F,84,SBK,Blacktip shark,Carcharhinus limbatus,Y,162.5,,F,,
UNC,1972,9,26,945,EW,F,84,DUS,Dusky shark,Carcharhinus obscurus,Y,157.5,,F,,
UNC,1972,10,11,915,EW,F,100,SBN,Blacknose shark,Carcharhinus acronotus,Y,104.1,,F,,
UNC,1972,10,11,915,EW,F,100,SBN,Blacknose shark,Carcharhinus acronotus,Y,121.9,,F,,
UNC,1972,10,11,915,EW,F,100,SBN,Blacknose shark,Carcharhinus acronotus,Y,109.2,,M,,
UNC,1972,10,11,915,EW,F,100,SBN,Blacknose shark,Carcharhinus acronotus,Y,81.2,,F,,
UNC,1972,10,11,915,EW,F,100,SBN,Blacknose shark,Carcharhinus acronotus,Y,101.6,,M,,
UNC,1972,10,11,915,EW,F,100,SBN,Blacknose shark,Carcharhinus acronotus,Y,101.6,,F,,
UNC,1972,10,11,915,EW,F,100,SBK,Blacktip shark,Carcharhinus limbatus,Y,115.6,,F,,
UNC,1972,10,11,915,EW,F,100,SBK,Blacktip shark,Carcharhinus limbatus,Y,121.9,,M,,
UNC,1972,10,11,915,EW,F,100,SBK,Blacktip shark,Carcharhinus limbatus,Y,111.7,,F,,
UNC,1972,10,11,915,EW,F,100,DUS,Dusky shark,Carcharhinus obscurus,Y,109.2,,F,,
UNC,1972,10,11,915,EW,F,100,DUS,Dusky shark,Carcharhinus obscurus,Y,109.2,,F,DEAD,
UNC,1972,10,11,915,EW,F,100,SPL,Scalloped hammerhead,Sphyrna lewini,Y,228.6,,U,,
UNC,1973,6,19,930,EW,F,100,SBU,Bull shark,Carcharhinus leucas,Y,259,,U,,
UNC,1973,6,19,930,EW,F,100,DUS,Dusky shark,Carcharhinus obscurus,Y,80,,U,,
UNC,1973,6,19,930,EW,F,100,TIG,Tiger shark,Galeocerdo cuvier,Y,259,,U,,
UNC,1973,6,19,930,EW,F,100,SAS,Atlantic sharpnose shark,Rhizoprionodon terraenovae,Y,77,,F,DEAD,
UNC,1973,6,19,930,EW,F,100,SAS,Atlantic sharpnose shark,Rhizoprionodon terraenovae,Y,83,,U,,
UNC,1973,6,19,930,EW,F,100,SAS,Atlantic sharpnose shark,Rhizoprionodon terraenovae,Y,78,,M,DEAD,
UNC,1973,6,19,930,EW,F,100,SAS,Atlantic sharpnose shark,Rhizoprionodon terraenovae,Y,74,,M,DEAD,
UNC,1973,6,19,930,EW,F,100,SAS,Atlantic sharpnose shark,Rhizoprionodon terraenovae,Y,84,,M,DEAD,
UNC,1973,6,19,1145,NS,E,100,SBU,Bull shark,Carcharhinus leucas,Y,243.8,,U,,
UNC,1973,6,19,1145,NS,E,100,DUS,Dusky shark,Carcharhinus obscurus,Y,88,,U,,
UNC,1973,6,19,1145,NS,E,100,DUS,Dusky shark,Carcharhinus obscurus,Y,85,,U,,
UNC,1973,6,19,1145,NS,E,100,DUS,Dusky shark,Carcharhinus obscurus,Y,82,,U,,
UNC,1973,6,19,1145,NS,E,100,LEM,Lemon shark,Negaprion brevirostris,Y,79,,U,,
UNC,1973,6,19,1145,NS,E,100,LEM,Lemon shark,Negaprion brevirostris,Y,243.8,,U,,
UNC,1973,6,19,1145,NS,E,100,SHH,Smooth hammerhead,Sphyrna zygaena,Y,111.5,,U,,
UNC,1973,7,3,1000,NS,F,100,SBN,Blacknose shark,Carcharhinus acronotus,Y,120,,M,DEAD,
UNC,1973,7,3,1000,NS,F,100,SBN,Blacknose shark,Carcharhinus acronotus,Y,121,,U,DEAD,
UNC,1973,7,3,1000,NS,F,100,SBN,Blacknose shark,Carcharhinus acronotus,Y,100,,U,,
UNC,1973,7,3,1000,NS,F,100,SBN,Blacknose shark,Carcharhinus acronotus,Y,105,,F,DEAD,
UNC,1973,7,3,1000,NS,F,100,SBN,Blacknose shark,Carcharhinus acronotus,Y,91.4,,U,,
UNC,1973,7,3,1000,NS,F,100,SBN,Blacknose shark,Carcharhinus acronotus,Y,123,,U,DEAD,
UNC,1973,7,3,1000,NS,F,100,SBN,Blacknose shark,Carcharhinus acronotus,Y,91.4,,U,,
UNC,1973,7,3,1000,NS,F,100,SBK,Blacktip shark,Carcharhinus limbatus,Y,182.8,,U,,per F. Schwartz 9/18/06
UNC,1973,7,3,1000,NS,F,100,SBK,Blacktip shark,Carcharhinus limbatus,Y,121.9,,U,,per F. Schwartz 9/18/06
UNC,1973,7,3,1000,NS,F,100,SBK,Blacktip shark,Carcharhinus limbatus,Y,182.8,,U,,per F. Schwartz 9/18/06
UNC,1973,7,3,1000,NS,F,100,SBK,Blacktip shark,Carcharhinus limbatus,Y,178,,U,DEAD,per F. Schwartz 9/18/06
UNC,1973,7,3,1000,NS,F,100,SBK,Blacktip shark,Carcharhinus limbatus,Y,137.1,,U,,per F. Schwartz 9/18/06
UNC,1973,7,3,1000,NS,F,100,SBK,Blacktip shark,Carcharhinus limbatus,Y,112,,U,DEAD,per F. Schwartz 9/18/06
UNC,1973,7,3,1000,NS,F,100,SBK,Blacktip shark,Carcharhinus limbatus,Y,121.9,,U,,per F. Schwartz 9/18/06
UNC,1973,7,3,1000,NS,F,100,SBK,Blacktip shark,Carcharhinus limbatus,Y,137.1,,U,,per F. Schwartz 9/18/06
UNC,1973,7,3,1000,NS,F,100,SBK,Blacktip shark,Carcharhinus limbatus,Y,170,,M,DEAD,per F. Schwartz 9/18/06
UNC,1973,7,3,1000,NS,F,100,SBK,Blacktip shark,Carcharhinus limbatus,Y,121.9,,U,,per F. Schwartz 9/18/06
