Source,Year,Month,Day,Time of Day,Station,Tide,Hooks,Species Code,Common Name,Latin name,Number of sharks caught,Notes
UNC,2009,5,1,930,EW,F,95,,Sand tiger,Carcharias taurus,1,
UNC,2009,5,1,930,EW,F,95,SDS,Smooth dogfish,Mustelus canis,2,
UNC,2009,5,1,930,EW,F,95,SAS,Atlantic sharpnose shark,Rhizoprionodon terraenovae,1,
UNC,2009,6,29,900,EW,F,102,SBN,Blacknose shark,Carcharhinus acronotus,4,
UNC,2009,6,29,900,EW,F,102,SBK,Blacktip shark,Carcharhinus limbatus,2,
UNC,2009,6,29,900,EW,F,102,SAS,Atlantic sharpnose shark,Rhizoprionodon terraenovae,5,
UNC,2009,6,29,900,EW,F,102,SHH,Smooth hammerhead,Sphyrna zygaena,2,
UNC,2009,6,29,1110,NS,F,102,NUL,Null set no sharks caught,n.a.,0,Null set no sharks caught
UNC,2009,7,13,858,EW,F,100,NUL,Null set no sharks caught,n.a.,0,Null set no sharks caught
UNC,2009,7,13,1110,NS,E,100,NUL,Null set no sharks caught,n.a.,0,Null set no sharks caught
UNC,2009,8,10,1100,NS,E,100,SAS,Atlantic sharpnose shark,Rhizoprionodon terraenovae,3,
UNC,2009,8,31,900,EW,F,101,SBN,Blacknose shark,Carcharhinus acronotus,2,
UNC,2009,8,31,900,EW,F,101,SAS,Atlantic sharpnose shark,Rhizoprionodon terraenovae,1,
UNC,2009,8,31,1115,NS,F,97,SBN,Blacknose shark,Carcharhinus acronotus,2,
UNC,2009,8,31,1115,NS,F,97,SAS,Atlantic sharpnose shark,Rhizoprionodon terraenovae,3,
UNC,2009,9,14,830,EW,E,101,SBN,Blacknose shark,Carcharhinus acronotus,1,
UNC,2009,9,14,830,EW,E,101,SAS,Atlantic sharpnose shark,Rhizoprionodon terraenovae,6,
UNC,2009,9,14,830,EW,E,101,SPT,Bonnethead shark,Sphyrna tibura,1,
UNC,2009,9,14,1105,NS,F,101,SAS,Atlantic sharpnose shark,Rhizoprionodon terraenovae,9,
UNC,2009,9,28,900,EW,E,100,SAS,Atlantic sharpnose shark,Rhizoprionodon terraenovae,1,
UNC,2009,10,13,909,NS,F,100,SAS,Atlantic sharpnose shark,Rhizoprionodon terraenovae,12,
UNC,2009,10,13,1115,EW,F,100,SAS,Atlantic sharpnose shark,Rhizoprionodon terraenovae,4,
UNC,2009,10,27,920,NS,F,99,SBN,Blacknose shark,Carcharhinus acronotus,1,
UNC,2009,10,27,920,NS,F,99,SAS,Atlantic sharpnose shark,Rhizoprionodon terraenovae,10,
UNC,2009,10,27,1124,EW,F,99,SAS,Atlantic sharpnose shark,Rhizoprionodon terraenovae,7,
UNC,2010,5,19,1043,NS,F,100,DUS,Dusky shark,Carcharhinus obscurus,2,
UNC,2010,5,19,1043,NS,F,100,,Sand tiger,Carcharias taurus,1,
UNC,2010,6,1,855,EW,F,100,SBN,Blacknose shark,Carcharhinus acronotus,3,
UNC,2010,6,1,855,EW,F,100,SSP,Spinner shark,Carcharhinus brevipinna,1,
UNC,2010,6,1,855,EW,F,100,DUS,Dusky shark,Carcharhinus obscurus,1,
UNC,2010,6,1,855,EW,F,100,SAS,Atlantic sharpnose shark,Rhizoprionodon terraenovae,12,
UNC,2010,6,16,857,EW,F,100,SBN,Blacknose shark,Carcharhinus acronotus,2,
UNC,2010,6,16,857,EW,F,100,SAS,Atlantic sharpnose shark,Rhizoprionodon terraenovae,10,
UNC,2010,6,16,1108,NS,F,100,SBN,Blacknose shark,Carcharhinus acronotus,1,
UNC,2010,6,16,1108,NS,F,100,SAS,Atlantic sharpnose shark,Rhizoprionodon terraenovae,5,
UNC,2010,6,30,918,EW,F,100,SBN,Blacknose shark,Carcharhinus acronotus,2,
UNC,2010,6,30,918,EW,F,100,SBU,Bull shark,Carcharhinus leucas,1,
UNC,2010,6,30,918,EW,F,100,SAS,Atlantic sharpnose shark,Rhizoprionodon terraenovae,4,
UNC,2010,6,30,918,EW,F,100,SHH,Smooth hammerhead,Sphyrna zygaena,2,
UNC,2010,6,30,1115,NS,E,100,NUL,Null set no sharks caught,n.a.,0,Null set no sharks caught
UNC,2010,7,15,855,EW,F,100,SBK,Blacktip shark,Carcharhinus limbatus,1,
UNC,2010,7,15,855,EW,F,100,SHH,Smooth hammerhead,Sphyrna zygaena,2,
UNC,2010,7,28,900,EW,F,102,SAS,Atlantic sharpnose shark,Rhizoprionodon terraenovae,3,
UNC,2010,7,28,1105,NS,E,100,SAS,Atlantic sharpnose shark,Rhizoprionodon terraenovae,2,
UNC,2010,8,17,842,EW,F,103,SAS,Atlantic sharpnose shark,Rhizoprionodon terraenovae,4,
UNC,2010,8,17,1043,NS,F,100,SBN,Blacknose shark,Carcharhinus acronotus,1,
UNC,2010,8,17,1043,NS,F,100,SAS,Atlantic sharpnose shark,Rhizoprionodon terraenovae,5,
UNC,2010,8,31,840,EW,F,104,SBN,Blacknose shark,Carcharhinus acronotus,4,
UNC,2010,8,31,840,EW,F,104,SAS,Atlantic sharpnose shark,Rhizoprionodon terraenovae,2,
UNC,2010,8,31,840,EW,F,104,SPT,Bonnethead shark,Sphyrna tibura,2,
UNC,2010,9,14,850,EW,F,104,SBN,Blacknose shark,Carcharhinus acronotus,1,
UNC,2010,9,14,850,EW,F,104,SBK,Blacktip shark,Carcharhinus limbatus,1,
UNC,2010,9,14,850,EW,F,104,SAS,Atlantic sharpnose shark,Rhizoprionodon terraenovae,10,
UNC,2010,9,14,850,EW,F,104,SPT,Bonnethead shark,Sphyrna tibura,1,
UNC,2010,9,14,850,EW,F,104,SHH,Smooth hammerhead,Sphyrna zygaena,2,
UNC,2010,9,14,1100,NS,E,104,SAS,Atlantic sharpnose shark,Rhizoprionodon terraenovae,4,
UNC,2010,10,12,930,EW,F,104,SAS,Atlantic sharpnose shark,Rhizoprionodon terraenovae,10,
UNC,2011,4,21,900,NS,E,101,SDS,Smooth dogfish,Mustelus canis,1,
UNC,2011,4,21,1105,EW,F,101,SDS,Smooth dogfish,Mustelus canis,4,
UNC,2011,5,11,850,EW,F,101,FAL,Silky shark,Carcharhinus falciformis,1,
UNC,2011,5,11,850,EW,F,101,DUS,Dusky shark,Carcharhinus obscurus,3,
UNC,2011,5,11,850,EW,F,101,SAS,Atlantic sharpnose shark,Rhizoprionodon terraenovae,10,
UNC,2011,5,11,1100,NS,F,101,NUL,Null set no sharks caught,n.a.,0,Null set no sharks caught
UNC,2011,5,26,850,EW,E,105,SBN,Blacknose shark,Carcharhinus acronotus,4,
UNC,2011,5,26,850,EW,E,105,SAS,Atlantic sharpnose shark,Rhizoprionodon terraenovae,4,
UNC,2011,5,26,850,EW,E,105,SPL,Scalloped hammerhead,Sphyrna lewini,1,
UNC,2011,5,26,1020,NS,F,105,SAS,Atlantic sharpnose shark,Rhizoprionodon terraenovae,3,
UNC,2011,6,3,935,EW,E,103,SBN,Blacknose shark,Carcharhinus acronotus,2,
UNC,2011,6,3,935,EW,E,103,SSP,Spinner shark,Carcharhinus brevipinna,4,
UNC,2011,6,3,935,EW,E,103,SBK,Blacktip shark,Carcharhinus limbatus,3,
UNC,2011,6,3,935,EW,E,103,SAS,Atlantic sharpnose shark,Rhizoprionodon terraenovae,6,
UNC,2011,6,3,935,EW,E,103,SPL,Scalloped hammerhead,Sphyrna lewini,2,
UNC,2011,6,3,1134,NS,E,103,SAS,Atlantic sharpnose shark,Rhizoprionodon terraenovae,2,
UNC,2011,6,20,840,EW,E,102,SBN,Blacknose shark,Carcharhinus acronotus,1,
UNC,2011,6,20,840,EW,E,102,SSP,Spinner shark,Carcharhinus brevipinna,1,
UNC,2011,6,20,840,EW,E,102,SBK,Blacktip shark,Carcharhinus limbatus,2,
UNC,2011,6,20,840,EW,E,102,SAS,Atlantic sharpnose shark,Rhizoprionodon terraenovae,3,
UNC,2011,6,20,840,EW,E,102,SPL,Scalloped hammerhead,Sphyrna lewini,1,
UNC,2011,6,20,1005,NS,F,101,SAS,Atlantic sharpnose shark,Rhizoprionodon terraenovae,1,
UNC,2011,7,12,849,EW,E,101,SBN,Blacknose shark,Carcharhinus acronotus,1,
UNC,2011,7,12,849,EW,E,101,SAS,Atlantic sharpnose shark,Rhizoprionodon terraenovae,8,
UNC,2011,7,27,850,EW,E,102,SSP,Spinner shark,Carcharhinus brevipinna,3,
UNC,2011,7,27,850,EW,E,102,SAS,Atlantic sharpnose shark,Rhizoprionodon terraenovae,4,
UNC,2011,7,27,850,EW,E,102,SPL,Scalloped hammerhead,Sphyrna lewini,1,
UNC,2011,7,27,1030,NS,F,102,SAS,Atlantic sharpnose shark,Rhizoprionodon terraenovae,1,
UNC,2011,8,10,900,EW,E,102,SBK,Blacktip shark,Carcharhinus limbatus,1,
UNC,2011,8,10,900,EW,E,102,SAS,Atlantic sharpnose shark,Rhizoprionodon terraenovae,1,
UNC,2011,8,10,900,EW,E,102,SPL,Scalloped hammerhead,Sphyrna lewini,2,
UNC,2011,8,10,1115,NS,F,102,SAS,Atlantic sharpnose shark,Rhizoprionodon terraenovae,5,
UNC,2011,8,23,844,EW,E,100,SBN,Blacknose shark,Carcharhinus acronotus,2,
UNC,2011,8,23,844,EW,E,100,SBK,Blacktip shark,Carcharhinus limbatus,2,
UNC,2011,8,23,844,EW,E,100,SAS,Atlantic sharpnose shark,Rhizoprionodon terraenovae,4,
UNC,2011,8,23,844,EW,E,100,SPL,Scalloped hammerhead,Sphyrna lewini,1,
UNC,2011,8,23,1022,NS,F,99,SBK,Blacktip shark,Carcharhinus limbatus,2,
UNC,2011,8,23,1022,NS,F,99,SAS,Atlantic sharpnose shark,Rhizoprionodon terraenovae,2,
UNC,2011,8,23,1022,NS,F,99,SPL,Scalloped hammerhead,Sphyrna lewini,2,
UNC,2011,9,19,909,EW,F,100,SBN,Blacknose shark,Carcharhinus acronotus,1,
UNC,2011,9,19,909,EW,F,100,SBU,Bull shark,Carcharhinus leucas,1,
UNC,2011,9,19,909,EW,F,100,SBK,Blacktip shark,Carcharhinus limbatus,1,
UNC,2011,9,19,909,EW,F,100,SAS,Atlantic sharpnose shark,Rhizoprionodon terraenovae,1,
UNC,2011,9,19,1114,NS,F,100,SBN,Blacknose shark,Carcharhinus acronotus,1,
UNC,2011,9,19,1114,NS,F,100,SAS,Atlantic sharpnose shark,Rhizoprionodon terraenovae,1,
UNC,2011,10,4,834,EW,F,100,SBN,Blacknose shark,Carcharhinus acronotus,2,
UNC,2011,10,4,834,EW,F,100,SSP,Spinner shark,Carcharhinus brevipinna,1,
UNC,2011,10,4,834,EW,F,100,DUS,Dusky shark,Carcharhinus obscurus,1,
UNC,2011,10,4,834,EW,F,100,SAS,Atlantic sharpnose shark,Rhizoprionodon terraenovae,7,
UNC,2011,10,4,1040,NS,F,100,SAS,Atlantic sharpnose shark,Rhizoprionodon terraenovae,4,
UNC,2011,10,18,834,EW,F,100,SBN,Blacknose shark,Carcharhinus acronotus,1,
UNC,2011,10,18,834,EW,F,100,SAS,Atlantic sharpnose shark,Rhizoprionodon terraenovae,6,
UNC,2011,10,18,1107,NS,F,100,SAS,Atlantic sharpnose shark,Rhizoprionodon terraenovae,3,
UNC,2011,11,1,840,EW,F,100,SAS,Atlantic sharpnose shark,Rhizoprionodon terraenovae,1,
UNC,2011,11,1,1030,NS,F,99,SAS,Atlantic sharpnose shark,Rhizoprionodon terraenovae,1,
